Data;20633 - Concessões de crédito - Pessoas físicas - Total - R$ (milhões)
01/2015;130.957
02/2015;114.736
03/2015;136.861
04/2015;129.652
05/2015;128.876
06/2015;132.932
07/2015;133.252
08/2015;131.692
09/2015;128.899
10/2015;125.149
11/2015;130.825
12/2015;140.300
01/2016;114.085
02/2016;117.361
03/2016;127.259
04/2016;120.691
05/2016;129.595
06/2016;133.381
07/2016;124.708
08/2016;136.737
09/2016;123.699
10/2016;128.202
11/2016;136.541
12/2016;144.329
01/2017;128.865
02/2017;113.914
03/2017;144.248
04/2017;123.492
05/2017;144.590
06/2017;143.465
07/2017;137.205
08/2017;146.869
09/2017;135.764
10/2017;146.487
11/2017;149.244
12/2017;149.514
01/2018;145.632
02/2018;130.570
03/2018;145.865
04/2018;147.641
05/2018;152.335
06/2018;149.778
07/2018;151.804
08/2018;167.501
09/2018;147.344
10/2018;166.826
11/2018;173.549
12/2018;170.527
01/2019;160.092
02/2019;155.342
03/2019;156.026
04/2019;169.504
05/2019;178.700
06/2019;167.448
07/2019;185.785
08/2019;182.352
09/2019;181.452
10/2019;194.416
11/2019;188.460
12/2019;206.862
01/2020;184.829
02/2020;168.326
03/2020;172.888
04/2020;141.526
05/2020;144.917
06/2020;165.005
07/2020;176.323
08/2020;183.386
09/2020;189.846
10/2020;197.732
11/2020;206.947
12/2020;211.323
01/2021;173.565
02/2021;175.035
03/2021;203.361
04/2021;204.346
05/2021;222.556
06/2021;226.785
07/2021;230.134
08/2021;248.316
09/2021;242.179
10/2021;238.849
11/2021;259.248
12/2021;259.952
01/2022;225.807
02/2022;209.962
03/2022;259.071
04/2022;251.290
05/2022;273.553
06/2022;270.103
07/2022;273.603
08/2022;300.584
09/2022;286.725
10/2022;286.359
11/2022;288.531
12/2022;288.345
01/2023;272.369
02/2023;244.036
03/2023;289.780
04/2023;256.159
05/2023;291.420
06/2023;282.581
07/2023;292.274
08/2023;323.124
09/2023;301.178
10/2023;313.180
11/2023;317.535
12/2023;311.188
01/2024;314.735
02/2024;291.777
03/2024;305.332
04/2024;320.903
05/2024;329.443
06/2024;313.750
07/2024;351.097
08/2024;346.760
09/2024;347.949
10/2024;358.409
11/2024;342.546
12/2024;354.603
Fonte;BCB-DSTAT
