Data;4189 - Taxa de juros - Selic acumulada no mês anualizada base 252 - % a.a.
01/2015;11,82
02/2015;12,15
03/2015;12,58
04/2015;12,68
05/2015;13,15
06/2015;13,58
07/2015;13,69
08/2015;14,15
09/2015;14,15
10/2015;14,15
11/2015;14,15
12/2015;14,15
01/2016;14,15
02/2016;14,15
03/2016;14,15
04/2016;14,15
05/2016;14,15
06/2016;14,15
07/2016;14,15
08/2016;14,15
09/2016;14,15
10/2016;14,05
11/2016;13,90
12/2016;13,65
01/2017;13,17
02/2017;12,82
03/2017;12,15
04/2017;11,59
05/2017;11,15
06/2017;10,15
07/2017;10,01
08/2017;9,15
09/2017;8,35
10/2017;8,01
11/2017;7,40
12/2017;7,00
01/2018;6,90
02/2018;6,72
03/2018;6,58
04/2018;6,40
05/2018;6,40
06/2018;6,40
07/2018;6,40
08/2018;6,40
09/2018;6,40
10/2018;6,40
11/2018;6,40
12/2018;6,40
01/2019;6,40
02/2019;6,40
03/2019;6,40
04/2019;6,40
05/2019;6,40
06/2019;6,40
07/2019;6,40
08/2019;5,90
09/2019;5,71
10/2019;5,38
11/2019;4,90
12/2019;4,59
01/2020;4,40
02/2020;4,19
03/2020;3,95
04/2020;3,65
05/2020;3,01
06/2020;2,58
07/2020;2,15
08/2020;1,94
09/2020;1,90
10/2020;1,90
11/2020;1,90
12/2020;1,90
01/2021;1,90
02/2021;1,90
03/2021;2,23
04/2021;2,65
05/2021;3,29
06/2021;3,76
07/2021;4,15
08/2021;5,01
09/2021;5,43
10/2021;6,30
11/2021;7,65
12/2021;8,76
01/2022;9,15
02/2022;10,49
03/2022;11,15
04/2022;11,65
05/2022;12,51
06/2022;12,89
07/2022;13,15
08/2022;13,58
09/2022;13,65
10/2022;13,65
11/2022;13,65
12/2022;13,65
01/2023;13,65
02/2023;13,65
03/2023;13,65
04/2023;13,65
05/2023;13,65
06/2023;13,65
07/2023;13,65
08/2023;13,19
09/2023;12,97
10/2023;12,65
11/2023;12,17
12/2023;11,87
01/2024;11,65
02/2024;11,15
03/2024;11,00
04/2024;10,65
05/2024;10,46
06/2024;10,40
07/2024;10,40
08/2024;10,40
09/2024;10,50
10/2024;10,65
11/2024;11,04
12/2024;11,77
Fonte;BCB-Demab
