Data;20716 - Taxa média de juros das operações de crédito - Pessoas físicas - Total - % a.a.
01/2015;31,39
02/2015;32,23
03/2015;32,51
04/2015;33,24
05/2015;34,18
06/2015;34,87
07/2015;35,81
08/2015;36,37
09/2015;36,85
10/2015;37,90
11/2015;38,25
12/2015;37,36
01/2016;38,87
02/2016;39,46
03/2016;40,19
04/2016;41,02
05/2016;41,39
06/2016;41,05
07/2016;41,32
08/2016;41,41
09/2016;42,05
10/2016;42,24
11/2016;42,27
12/2016;41,18
01/2017;41,41
02/2017;40,71
03/2017;40,58
04/2017;37,83
05/2017;35,98
06/2017;35,78
07/2017;36,33
08/2017;35,51
09/2017;33,57
10/2017;33,84
11/2017;33,17
12/2017;31,55
01/2018;31,88
02/2018;32,77
03/2018;32,53
04/2018;32,48
05/2018;30,90
06/2018;30,46
07/2018;29,99
08/2018;29,85
09/2018;29,79
10/2018;29,94
11/2018;29,98
12/2018;28,62
01/2019;29,98
02/2019;30,61
03/2019;31,08
04/2019;31,08
05/2019;30,94
06/2019;31,10
07/2019;30,79
08/2019;30,92
09/2019;30,22
10/2019;29,45
11/2019;29,70
12/2019;28,27
01/2020;28,12
02/2020;28,71
03/2020;28,32
04/2020;26,80
05/2020;26,11
06/2020;24,61
07/2020;24,27
08/2020;23,52
09/2020;23,09
10/2020;23,57
11/2020;23,13
12/2020;22,65
01/2021;23,80
02/2021;24,16
03/2021;24,48
04/2021;24,75
05/2021;24,11
06/2021;24,18
07/2021;24,15
08/2021;24,68
09/2021;25,24
10/2021;26,51
11/2021;27,42
12/2021;28,20
01/2022;29,10
02/2022;29,66
03/2022;31,00
04/2022;31,46
05/2022;32,04
06/2022;32,60
07/2022;33,68
08/2022;34,01
09/2022;33,74
10/2022;35,26
11/2022;36,14
12/2022;34,92
01/2023;35,27
02/2023;35,58
03/2023;36,19
04/2023;37,19
05/2023;37,27
06/2023;36,58
07/2023;36,02
08/2023;35,37
09/2023;34,81
10/2023;34,17
11/2023;34,00
12/2023;33,20
01/2024;32,25
02/2024;32,34
03/2024;32,83
04/2024;32,59
05/2024;32,52
06/2024;32,53
07/2024;32,41
08/2024;32,17
09/2024;32,29
10/2024;32,39
11/2024;32,93
12/2024;33,07
Fonte;BCB-DSTAT
